A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,D,D,D,D,D,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,F,G,G,G,G,G
P2Y12,ETB,PAF,PAR1,CCR7,CXCR2,OX1,OX2,CCK1,KOR,MOR,DOR,GHSR,NTS1,FPR2,NK1,Apelin,AT2,CCR6,CysLT1,PAR2,P2Y1,CXCR4,NPY2R,NPY1R,OT,C5a1,DP2,CCR2,LT4R,CCR5,US28,A1,A2a,EP4,EP2,TXA2R,MT1,MT2,RHO,FFA1,M5,M2,M3,M4,M1,5-HT1f,5-HT2b,B1-AR,B2-AR,D2,5-HT2a,5-HT2c,D3,MC4R,LPA1,S1P3,CB2,CB1,S1P1
0,0,7,5,6,0,21,14,2,2,0,0,2,16,1,1,4,0,0,8,11,8,0,1,13,0,14,9,5,5,11,0,0,15,27,13,9,13,8,14,0,2,0,3,3,1,0,6,7,2,0,1,0,4,0,25,31,3,10,21
0,0,,11,,,16,0,,0,0,0,,12,,,,,,,,7,1,,,,,,,,3,2,0,3,,,,,,7,1,,0,0,0,0,,9,5,3,,,,2,,5,,,7,28
0,0,,1,,,4,21,,1,7,0,,1,,,,,,,,6,0,,,,,,,,0,1,0,2,,,,,,7,1,,0,2,2,0,,13,1,5,,,,0,,10,,,15,27
0,0,,9,,,0,2,,1,0,0,,7,,,,,,,,12,0,,,,,,,,0,0,1,2,,,,,,6,4,,0,0,2,0,,9,2,4,,,,0,,2,,,15,33
0,0,,2,,,0,6,,1,0,0,,1,,,,,,,,2,0,,,,,,,,0,0,0,4,,,,,,16,2,,1,1,0,1,,6,1,7,,,,1,,3,,,23,20
3,0,,8,,,3,24,,1,0,0,,3,,,,,,,,12,1,,,,,,,,3,0,6,1,,,,,,12,0,,1,0,0,1,,8,3,5,,,,1,,3,,,9,29
1,0,,11,,,0,28,,0,0,0,,5,,,,,,,,6,0,,,,,,,,0,1,0,0,,,,,,23,1,,0,0,2,0,,9,3,8,,,,0,,0,,,12,32
1,0,,20,,,0,21,,1,6,0,,5,,,,,,,,4,0,,,,,,,,1,1,0,1,,,,,,16,2,,2,0,2,3,,10,3,2,,,,0,,0,,,19,26
0,0,,18,,,0,31,,0,3,0,,4,,,,,,,,2,2,,,,,,,,0,0,1,0,,,,,,18,0,,0,4,4,2,,14,1,9,,,,0,,0,,,13,21
0,13,,6,,,0,14,,1,6,0,,1,,,,,,,,9,0,,,,,,,,3,1,0,0,,,,,,15,4,,1,0,1,1,,11,3,4,,,,3,,0,,,6,32
0,0,,6,,,0,21,,0,0,0,,11,,,,,,,,4,0,,,,,,,,2,1,0,0,,,,,,19,0,,8,0,0,3,,8,8,4,,,,0,,10,,,1,32
0,0,,9,,,14,2,,0,0,0,,8,,,,,,,,3,0,,,,,,,,1,2,0,1,,,,,,3,4,,1,1,0,0,,10,4,4,,,,0,,2,,,3,24
0,2,,3,,,1,7,,1,0,0,,7,,,,,,,,8,0,,,,,,,,2,0,0,2,,,,,,4,6,,1,1,0,0,,6,2,7,,,,0,,3,,,3,24
0,0,,17,,,19,16,,1,2,0,,4,,,,,,,,10,0,,,,,,,,1,0,0,6,,,,,,0,1,,5,1,2,0,,16,1,1,,,,0,,4,,,1,22
0,0,,4,,,13,4,,1,0,0,,7,,,,,,,,4,0,,,,,,,,1,1,0,6,,,,,,12,1,,1,0,0,0,,8,2,10,,,,0,,0,,,12,21
0,0,,6,,,20,10,,1,0,0,,2,,,,,,,,3,0,,,,,,,,7,0,0,3,,,,,,0,3,,3,0,0,1,,5,10,6,,,,0,,1,,,1,26
0,0,,9,,,17,7,,0,0,1,,0,,,,,,,,3,0,,,,,,,,4,0,0,7,,,,,,1,0,,3,5,0,2,,12,6,1,,,,0,,0,,,3,25
7,0,,16,,,10,8,,0,2,0,,0,,,,,,,,3,0,,,,,,,,3,1,0,5,,,,,,4,2,,1,0,0,0,,11,4,1,,,,0,,0,,,13,23
0,0,,0,,,15,31,,1,0,4,,9,,,,,,,,4,0,,,,,,,,0,0,0,2,,,,,,3,3,,0,0,0,1,,2,1,2,,,,0,,0,,,0,24
12,0,,14,,,21,16,,0,0,0,,3,,,,,,,,2,0,,,,,,,,5,0,0,0,,,,,,0,4,,1,2,0,1,,7,9,6,,,,0,,0,,,4,24
9,0,,9,,,16,26,,1,2,0,,3,,,,,,,,6,0,,,,,,,,0,1,1,0,,,,,,1,5,,0,0,2,3,,10,1,3,,,,0,,1,,,2,18
0,0,,0,,,17,9,,0,4,0,,8,,,,,,,,5,0,,,,,,,,0,1,5,2,,,,,,8,6,,5,0,3,0,,6,3,4,,,,0,,0,,,7,36
0,0,,9,,,25,14,,1,0,1,,6,,,,,,,,6,0,,,,,,,,9,0,0,0,,,,,,6,0,,2,0,4,0,,5,10,1,,,,0,,4,,,19,30
0,0,,5,,,14,1,,1,2,0,,5,,,,,,,,11,0,,,,,,,,6,1,0,7,,,,,,5,8,,2,0,0,0,,10,2,4,,,,0,,1,,,15,30
0,0,,11,,,18,17,,0,0,0,,6,,,,,,,,9,0,,,,,,,,4,0,0,0,,,,,,10,5,,1,1,0,0,,14,4,0,,,,0,,0,,,15,29
0,0,,19,,,5,16,,0,0,0,,8,,,,,,,,3,0,,,,,,,,0,0,0,0,,,,,,13,4,,0,0,0,1,,0,7,7,,,,0,,2,,,23,30
0,0,,17,,,11,30,,2,5,0,,9,,,,,,,,9,0,,,,,,,,7,3,0,0,,,,,,2,1,,0,0,0,3,,3,4,2,,,,0,,11,,,14,23
0,0,,13,,,13,14,,0,3,0,,4,,,,,,,,1,0,,,,,,,,7,1,0,0,,,,,,2,0,,0,0,0,7,,9,1,9,,,,0,,2,,,20,23
0,0,,15,,,11,12,,1,0,0,,2,,,,,,,,6,0,,,,,,,,0,0,4,6,,,,,,4,7,,0,4,0,4,,6,2,0,,,,0,,0,,,21,25
0,0,,11,,,26,15,,0,0,0,,7,,,,,,,,8,0,,,,,,,,1,0,0,0,,,,,,4,6,,0,0,0,0,,7,4,0,,,,0,,3,,,12,19
18,0,,13,,,16,17,,4,1,0,,6,,,,,,,,6,0,,,,,,,,2,0,0,0,,,,,,4,1,,0,0,8,4,,2,0,8,,,,0,,0,,,23,25
