A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,D,D,D,D,D,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,F,G,G,G,G,G
P2Y12,ETB,PAF,PAR1,CCR7,CXCR2,OX1,OX2,CCK1,KOR,MOR,DOR,GHSR,NTS1,FPR2,NK1,Apelin,AT2,CCR6,CysLT1,PAR2,P2Y1,CXCR4,NPY2R,NPY1R,OT,C5a1,DP2,CCR2,LT4R,CCR5,US28,A1,A2a,EP4,EP2,TXA2R,MT1,MT2,RHO,FFA1,M5,M2,M3,M4,M1,5-HT1f,5-HT2b,B1-AR,B2-AR,D2,5-HT2a,5-HT2c,D3,MC4R,LPA1,S1P3,CB2,CB1,S1P1
25,46,33,36,42,23,44,52,38,35,42,56,36,59,36,38,38,29,32,34,30,63,40,35,55,48,22,39,45,15,36,27,56,54,49,33,30,20,34,25,14,27,45,45,46,47,27,24,20,33,35,45,51,39,19,23,38,36,25,37
12,36,,46,,,26,34,,38,46,40,,31,,,,,,,,45,42,,,,,,,,27,27,38,17,,,,,,23,14,,10,24,35,48,,18,4,20,,,,11,,14,,,30,29
24,34,,29,,,25,43,,37,25,45,,21,,,,,,,,45,48,,,,,,,,27,29,42,14,,,,,,25,10,,13,34,39,43,,13,24,18,,,,40,,15,,,12,25
24,31,,19,,,31,29,,37,31,22,,26,,,,,,,,41,48,,,,,,,,31,27,39,36,,,,,,18,19,,10,34,37,44,,15,10,25,,,,35,,17,,,30,25
20,40,,45,,,25,42,,27,30,20,,38,,,,,,,,42,46,,,,,,,,25,13,27,32,,,,,,16,18,,13,19,32,42,,15,28,22,,,,14,,21,,,29,7
18,28,,45,,,28,27,,38,43,15,,34,,,,,,,,49,41,,,,,,,,12,8,28,33,,,,,,12,20,,8,19,50,22,,9,11,19,,,,27,,19,,,28,9
14,29,,34,,,26,28,,43,35,35,,19,,,,,,,,41,41,,,,,,,,27,19,32,21,,,,,,23,21,,10,26,28,19,,14,10,12,,,,20,,25,,,10,7
21,32,,36,,,43,20,,43,20,47,,29,,,,,,,,34,36,,,,,,,,29,14,22,15,,,,,,21,23,,10,28,50,19,,13,33,5,,,,19,,12,,,19,23
18,22,,41,,,34,13,,29,27,26,,36,,,,,,,,38,40,,,,,,,,25,13,33,18,,,,,,18,9,,10,40,44,14,,16,19,26,,,,34,,17,,,14,11
25,34,,45,,,27,14,,37,24,33,,28,,,,,,,,29,45,,,,,,,,21,17,40,23,,,,,,13,16,,6,12,48,25,,14,25,6,,,,13,,13,,,25,13
18,35,,36,,,38,33,,31,27,26,,40,,,,,,,,28,39,,,,,,,,36,1,55,16,,,,,,20,15,,13,25,39,19,,12,32,29,,,,20,,15,,,17,20
30,31,,40,,,29,26,,33,25,26,,37,,,,,,,,48,38,,,,,,,,28,31,40,12,,,,,,30,7,,36,31,40,38,,14,9,24,,,,30,,16,,,16,13
17,21,,42,,,24,29,,40,41,32,,35,,,,,,,,55,39,,,,,,,,34,7,49,18,,,,,,9,8,,44,22,40,39,,16,6,22,,,,17,,6,,,22,17
18,23,,43,,,30,28,,40,42,29,,39,,,,,,,,47,35,,,,,,,,25,18,33,25,,,,,,21,21,,44,37,17,43,,7,14,9,,,,15,,20,,,11,10
19,33,,42,,,38,44,,33,37,35,,35,,,,,,,,50,48,,,,,,,,23,12,42,28,,,,,,29,9,,26,43,35,43,,11,19,21,,,,9,,25,,,10,13
15,30,,32,,,27,29,,30,33,41,,39,,,,,,,,50,34,,,,,,,,33,11,28,16,,,,,,18,17,,29,27,36,40,,13,10,15,,,,22,,17,,,20,4
22,29,,34,,,30,32,,30,32,45,,23,,,,,,,,56,27,,,,,,,,27,11,29,19,,,,,,19,18,,22,38,29,31,,9,6,21,,,,19,,21,,,20,9
19,40,,25,,,24,29,,27,28,39,,34,,,,,,,,44,40,,,,,,,,25,23,33,13,,,,,,31,10,,28,22,46,19,,20,10,28,,,,18,,15,,,9,9
15,20,,25,,,31,35,,17,33,43,,36,,,,,,,,43,44,,,,,,,,23,23,59,14,,,,,,32,8,,15,40,34,16,,19,15,23,,,,29,,17,,,9,11
15,25,,37,,,41,32,,32,38,29,,40,,,,,,,,47,37,,,,,,,,22,13,36,17,,,,,,25,10,,28,36,31,25,,10,16,22,,,,14,,19,,,9,15
16,35,,35,,,35,42,,22,38,41,,32,,,,,,,,48,33,,,,,,,,35,27,28,7,,,,,,25,23,,33,40,41,19,,14,13,10,,,,23,,12,,,7,23
23,34,,37,,,15,27,,33,39,45,,28,,,,,,,,52,30,,,,,,,,27,34,24,12,,,,,,29,14,,22,42,44,45,,11,12,24,,,,22,,16,,,20,27
16,43,,44,,,26,30,,38,38,45,,22,,,,,,,,43,45,,,,,,,,27,29,27,24,,,,,,27,18,,36,22,37,49,,20,20,14,,,,20,,32,,,15,18
20,43,,32,,,17,31,,38,26,34,,21,,,,,,,,53,41,,,,,,,,25,33,34,9,,,,,,22,17,,40,38,42,29,,12,16,50,,,,25,,18,,,21,31
17,21,,40,,,35,23,,36,28,30,,27,,,,,,,,39,48,,,,,,,,27,11,25,11,,,,,,40,6,,42,54,48,29,,19,9,35,,,,17,,12,,,21,19
15,26,,33,,,23,39,,27,41,44,,34,,,,,,,,38,37,,,,,,,,22,28,17,27,,,,,,26,16,,42,46,52,41,,14,7,26,,,,18,,5,,,19,29
18,28,,43,,,34,29,,39,34,29,,38,,,,,,,,34,22,,,,,,,,25,18,25,26,,,,,,20,20,,46,48,30,38,,11,11,23,,,,22,,7,,,5,21
13,36,,29,,,29,38,,41,39,28,,33,,,,,,,,27,35,,,,,,,,26,25,34,33,,,,,,25,13,,29,38,37,20,,11,9,22,,,,26,,12,,,15,17
23,32,,29,,,27,33,,33,45,43,,39,,,,,,,,50,51,,,,,,,,22,27,33,19,,,,,,10,22,,39,55,41,30,,9,14,22,,,,23,,17,,,15,26
17,26,,25,,,22,21,,30,31,40,,18,,,,,,,,55,36,,,,,,,,26,19,33,22,,,,,,7,16,,46,54,39,35,,8,12,24,,,,20,,17,,,24,29
29,35,,35,,,25,26,,39,35,29,,26,,,,,,,,58,30,,,,,,,,31,12,36,30,,,,,,22,26,,32,22,44,36,,10,13,36,,,,29,,18,,,36,37
