A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,D,D,D,D,D,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,F,G,G,G,G,G
5,0,,9,,,0,0,,0,0,2,,0,,,,,,,,1,2,,,,,,,,7,5,0,2,,,,,,10,0,,14,5,6,0,,0,0,0,,,,2,,0,,,0,0
7,0,,11,,,0,0,,0,0,0,,0,,,,,,,,0,2,,,,,,,,7,0,10,0,,,,,,9,0,,4,0,13,4,,0,0,0,,,,0,,0,,,0,0
7,0,,13,,,0,0,,0,0,0,,0,,,,,,,,0,3,,,,,,,,11,1,17,4,,,,,,5,0,,5,0,6,9,,0,0,5,,,,0,,0,,,0,0
3,0,,12,,,0,0,,0,0,0,,0,,,,,,,,0,1,,,,,,,,7,1,9,0,,,,,,6,0,,8,0,5,0,,0,0,0,,,,0,,0,,,0,0
6,0,,15,,,0,0,,0,0,0,,0,,,,,,,,0,1,,,,,,,,13,0,10,1,,,,,,5,0,,7,7,9,14,,0,0,0,,,,0,,0,,,0,0
6,0,,16,,,0,0,,0,0,0,,0,,,,,,,,2,7,,,,,,,,8,1,9,2,,,,,,3,0,,1,4,13,13,,0,0,3,,,,0,,0,,,0,0
12,0,,8,,,0,0,,0,0,0,,0,,,,,,,,5,16,,,,,,,,5,0,17,0,,,,,,7,0,,9,4,9,10,,0,2,0,,,,2,,0,,,0,0
0,0,,7,,,0,0,,0,0,0,,0,,,,,,,,14,0,,,,,,,,5,14,12,5,,,,,,4,0,,8,6,11,10,,0,0,0,,,,0,,0,,,0,0
5,0,,13,,,0,0,,0,0,0,,0,,,,,,,,1,9,,,,,,,,4,0,8,4,,,,,,5,0,,7,4,14,11,,0,1,0,,,,0,,0,,,0,0
12,0,,12,,,0,0,,0,0,0,,0,,,,,,,,6,6,,,,,,,,9,2,13,1,,,,,,7,0,,9,7,5,13,,0,0,0,,,,1,,0,,,0,0
0,0,,18,,,0,0,,0,0,0,,0,,,,,,,,0,5,,,,,,,,10,3,13,1,,,,,,4,0,,7,2,6,3,,1,0,0,,,,0,,0,,,0,0
6,0,,19,,,0,0,,0,0,0,,0,,,,,,,,0,24,,,,,,,,6,11,13,4,,,,,,9,0,,5,3,0,8,,0,0,3,,,,0,,0,,,0,0
7,0,,19,,,0,0,,0,0,0,,0,,,,,,,,8,23,,,,,,,,7,2,10,1,,,,,,12,0,,9,0,11,13,,0,0,0,,,,0,,0,,,0,0
8,0,,11,,,0,0,,0,0,0,,0,,,,,,,,19,0,,,,,,,,11,7,9,4,,,,,,9,0,,10,12,12,1,,0,0,1,,,,0,,0,,,0,0
6,0,,9,,,0,0,,0,0,0,,0,,,,,,,,0,0,,,,,,,,7,12,1,8,,,,,,9,0,,12,4,7,3,,0,0,1,,,,1,,0,,,0,0
10,0,,14,,,0,0,,0,0,0,,0,,,,,,,,0,21,,,,,,,,13,5,1,8,,,,,,6,0,,14,6,11,6,,0,0,2,,,,0,,0,,,0,0
3,0,,14,,,0,0,,0,0,0,,0,,,,,,,,6,7,,,,,,,,5,10,0,10,,,,,,14,4,,13,0,14,6,,0,0,0,,,,0,,0,,,0,0
