A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,D,D,D,D,D,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,F,G,G,G,G,G
P2Y12,ETB,PAF,PAR1,CCR7,CXCR2,OX1,OX2,CCK1,KOR,MOR,DOR,GHSR,NTS1,FPR2,NK1,Apelin,AT2,CCR6,CysLT1,PAR2,P2Y1,CXCR4,NPY2R,NPY1R,OT,C5a1,DP2,CCR2,LT4R,CCR5,US28,A1,A2a,EP4,EP2,TXA2R,MT1,MT2,RHO,FFA1,M5,M2,M3,M4,M1,5-HT1f,5-HT2b,B1-AR,B2-AR,D2,5-HT2a,5-HT2c,D3,MC4R,LPA1,S1P3,CB2,CB1,S1P1
3,0,10,5,10,0,0,0,0,0,0,0,0,0,0,5,7,6,0,19,13,6,8,0,7,0,0,0,0,3,8,4,3,7,1,3,4,11,9,8,0,5,4,1,13,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0
5,0,,11,,,0,0,,0,0,0,,0,,,,,,,,4,0,,,,,,,,13,9,14,5,,,,,,11,0,,10,0,9,8,,0,0,1,,,,0,,0,,,0,0
6,0,,11,,,0,0,,0,0,0,,0,,,,,,,,10,3,,,,,,,,4,11,9,1,,,,,,7,6,,13,8,12,6,,0,0,0,,,,0,,0,,,0,0
5,0,,19,,,0,0,,0,0,0,,0,,,,,,,,0,0,,,,,,,,9,13,11,10,,,,,,5,5,,10,0,9,14,,0,0,6,,,,0,,0,,,0,0
10,0,,17,,,0,0,,0,0,0,,0,,,,,,,,6,4,,,,,,,,8,0,0,7,,,,,,5,3,,13,0,6,7,,0,0,0,,,,0,,0,,,0,0
6,0,,21,,,0,0,,0,0,0,,0,,,,,,,,2,6,,,,,,,,6,8,5,6,,,,,,5,6,,8,1,0,0,,0,1,0,,,,0,,0,,,0,0
6,0,,21,,,0,0,,0,0,0,,0,,,,,,,,0,8,,,,,,,,0,17,17,3,,,,,,6,7,,10,1,9,0,,0,2,0,,,,0,,0,,,0,0
12,0,,17,,,0,0,,3,0,0,,0,,,,,,,,0,3,,,,,,,,1,21,11,7,,,,,,8,0,,10,0,6,10,,0,3,0,,,,1,,0,,,0,0
8,0,,16,,,0,0,,0,0,0,,0,,,,,,,,4,3,,,,,,,,4,19,11,1,,,,,,7,0,,10,2,11,11,,0,3,2,,,,0,,0,,,0,0
2,0,,13,,,0,2,,0,0,0,,0,,,,,,,,0,3,,,,,,,,1,9,10,2,,,,,,3,0,,6,2,6,13,,0,2,9,,,,0,,0,,,0,0
6,0,,10,,,0,0,,0,0,0,,0,,,,,,,,7,2,,,,,,,,3,15,5,0,,,,,,5,0,,13,12,10,10,,0,2,0,,,,0,,0,,,0,0
1,0,,20,,,0,0,,0,0,0,,0,,,,,,,,9,1,,,,,,,,7,8,14,5,,,,,,9,0,,6,2,11,9,,0,0,2,,,,0,,0,,,0,0
7,0,,15,,,0,0,,0,0,0,,0,,,,,,,,2,11,,,,,,,,8,1,1,4,,,,,,7,0,,10,6,4,5,,0,1,5,,,,2,,0,,,0,0
8,0,,17,,,0,0,,0,0,0,,0,,,,,,,,3,19,,,,,,,,9,2,0,3,,,,,,7,0,,13,0,10,6,,0,0,3,,,,0,,0,,,0,0
