A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,D,D,D,D,D,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,F,G,G,G,G,G
P2Y12,ETB,PAF,PAR1,CCR7,CXCR2,OX1,OX2,CCK1,KOR,MOR,DOR,GHSR,NTS1,FPR2,NK1,Apelin,AT2,CCR6,CysLT1,PAR2,P2Y1,CXCR4,NPY2R,NPY1R,OT,C5a1,DP2,CCR2,LT4R,CCR5,US28,A1,A2a,EP4,EP2,TXA2R,MT1,MT2,RHO,FFA1,M5,M2,M3,M4,M1,5-HT1f,5-HT2b,B1-AR,B2-AR,D2,5-HT2a,5-HT2c,D3,MC4R,LPA1,S1P3,CB2,CB1,S1P1
0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,,0,,,0,0,,0,0,0,,0,,,,,,,,0,0,,,,,,,,0,0,0,0,,,,,,5,0,,0,0,0,0,,0,0,0,,,,0,,0,,,0,0
0,0,,0,,,0,0,,0,0,0,,0,,,,,,,,0,0,,,,,,,,0,0,0,0,,,,,,4,0,,0,0,0,0,,0,0,0,,,,0,,0,,,0,0
0,0,,0,,,0,0,,0,0,0,,0,,,,,,,,0,0,,,,,,,,0,0,0,0,,,,,,11,0,,0,0,0,0,,0,0,0,,,,0,,0,,,0,0
3,0,,0,,,0,0,,0,0,0,,0,,,,,,,,0,0,,,,,,,,0,0,0,0,,,,,,2,0,,0,0,0,0,,0,0,0,,,,0,,0,,,0,0
0,0,,0,,,0,0,,0,0,0,,0,,,,,,,,0,0,,,,,,,,0,0,0,0,,,,,,3,0,,0,0,0,0,,0,0,0,,,,0,,0,,,0,0
0,0,,0,,,0,0,,0,0,0,,0,,,,,,,,0,0,,,,,,,,0,0,0,0,,,,,,3,0,,0,0,0,0,,0,0,0,,,,0,,0,,,0,0
0,0,,0,,,0,0,,0,0,0,,0,,,,,,,,0,0,,,,,,,,0,0,0,0,,,,,,3,0,,0,0,0,0,,0,0,0,,,,0,,0,,,0,0
0,0,,0,,,0,0,,0,0,0,,0,,,,,,,,0,0,,,,,,,,0,0,0,0,,,,,,1,0,,0,0,0,0,,0,0,0,,,,0,,0,,,0,0
0,0,,0,,,0,0,,0,0,0,,0,,,,,,,,0,0,,,,,,,,0,0,0,0,,,,,,2,0,,0,0,0,0,,0,0,0,,,,0,,0,,,0,0
0,0,,0,,,0,0,,0,0,0,,0,,,,,,,,0,0,,,,,,,,0,0,0,0,,,,,,3,0,,0,0,0,0,,0,0,0,,,,0,,0,,,0,0
0,0,,0,,,0,0,,0,0,0,,0,,,,,,,,0,0,,,,,,,,0,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,,,,0,,0,,,0,0
0,0,,0,,,0,0,,0,0,0,,0,,,,,,,,0,0,,,,,,,,0,0,0,0,,,,,,4,0,,0,0,0,0,,0,0,0,,,,0,,0,,,0,0
0,0,,0,,,0,0,,0,0,0,,0,,,,,,,,0,0,,,,,,,,0,0,0,0,,,,,,4,0,,0,0,0,0,,0,0,0,,,,0,,0,,,0,0
0,0,,0,,,0,0,,0,0,0,,0,,,,,,,,0,0,,,,,,,,0,0,0,0,,,,,,9,0,,0,0,0,0,,0,0,0,,,,0,,0,,,0,0
0,0,,0,,,0,0,,0,0,0,,0,,,,,,,,0,0,,,,,,,,0,0,0,0,,,,,,8,0,,0,0,0,0,,0,0,0,,,,0,,0,,,0,0
0,0,,0,,,0,0,,0,0,0,,0,,,,,,,,0,0,,,,,,,,0,0,0,0,,,,,,8,0,,0,0,0,0,,0,0,0,,,,0,,0,,,0,0
