A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,D,D,D,D,D,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,F,G,G,G,G,G
P2Y12,ETB,PAF,PAR1,CCR7,CXCR2,OX1,OX2,CCK1,KOR,MOR,DOR,GHSR,NTS1,FPR2,NK1,Apelin,AT2,CCR6,CysLT1,PAR2,P2Y1,CXCR4,NPY2R,NPY1R,OT,C5a1,DP2,CCR2,LT4R,CCR5,US28,A1,A2a,EP4,EP2,TXA2R,MT1,MT2,RHO,FFA1,M5,M2,M3,M4,M1,5-HT1f,5-HT2b,B1-AR,B2-AR,D2,5-HT2a,5-HT2c,D3,MC4R,LPA1,S1P3,CB2,CB1,S1P1
16,6,24,23,17,14,12,12,17,17,18,18,17,24,17,19,17,17,5,13,19,26,20,8,28,17,26,17,11,10,12,0,16,36,5,2,12,12,11,9,11,6,12,10,16,14,19,21,12,14,2,6,10,14,0,0,0,0,0,0
14,10,,16,,,16,8,,19,22,9,,12,,,,,,,,21,15,,,,,,,,16,0,11,14,,,,,,0,8,,3,0,17,8,,15,11,20,,,,8,,0,,,0,0
18,7,,20,,,21,11,,16,15,15,,10,,,,,,,,26,20,,,,,,,,21,0,17,20,,,,,,4,7,,5,8,11,6,,15,11,21,,,,0,,0,,,0,0
10,9,,19,,,12,8,,10,9,9,,14,,,,,,,,9,11,,,,,,,,18,3,23,16,,,,,,5,8,,10,0,9,14,,11,2,8,,,,12,,0,,,0,0
7,6,,18,,,28,26,,14,12,9,,31,,,,,,,,14,15,,,,,,,,8,0,17,19,,,,,,5,10,,6,0,7,7,,16,8,8,,,,11,,0,,,0,0
12,4,,18,,,21,6,,14,17,11,,17,,,,,,,,17,16,,,,,,,,22,7,24,25,,,,,,8,8,,12,1,12,0,,11,11,15,,,,12,,0,,,0,0
15,2,,16,,,20,22,,14,20,10,,12,,,,,,,,10,11,,,,,,,,8,4,27,24,,,,,,10,14,,6,1,9,0,,20,15,11,,,,9,,0,,,0,0
15,9,,11,,,22,1,,17,13,8,,10,,,,,,,,15,17,,,,,,,,22,7,16,13,,,,,,1,13,,13,0,14,10,,8,19,4,,,,16,,0,,,0,0
7,7,,25,,,19,21,,8,8,7,,17,,,,,,,,11,16,,,,,,,,16,4,14,16,,,,,,5,8,,10,2,12,11,,9,22,11,,,,13,,0,,,0,0
11,5,,21,,,15,13,,14,14,12,,6,,,,,,,,10,15,,,,,,,,0,3,18,10,,,,,,7,4,,7,2,9,13,,14,7,11,,,,8,,0,,,0,0
15,9,,20,,,22,17,,15,14,11,,11,,,,,,,,4,12,,,,,,,,16,8,16,20,,,,,,6,9,,7,12,13,10,,13,8,5,,,,19,,0,,,0,0
