A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,D,D,D,D,D,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,F,G,G,G,G,G
16,8,,23,,,13,12,,15,19,13,,10,,,,,,,,14,10,,,,,,,,9,0,20,31,,,,,,15,13,,8,10,22,10,,23,9,12,,,,12,,0,,,0,0
15,0,,21,,,12,17,,12,5,13,,6,,,,,,,,22,8,,,,,,,,10,7,12,25,,,,,,3,7,,16,6,9,9,,13,20,15,,,,8,,0,,,0,0
14,3,,15,,,13,3,,14,22,9,,17,,,,,,,,17,11,,,,,,,,19,7,18,14,,,,,,4,9,,12,10,8,12,,11,9,18,,,,3,,0,,,0,0
13,15,,20,,,24,8,,12,9,9,,17,,,,,,,,14,10,,,,,,,,15,14,4,20,,,,,,5,9,,17,6,5,2,,13,6,12,,,,16,,0,,,0,0
17,21,,20,,,16,8,,15,11,13,,19,,,,,,,,13,13,,,,,,,,11,5,27,21,,,,,,5,12,,10,7,14,9,,14,10,10,,,,4,,0,,,0,0
8,22,,15,,,11,14,,14,16,12,,16,,,,,,,,17,16,,,,,,,,8,9,23,18,,,,,,3,10,,10,14,11,13,,10,17,11,,,,2,,0,,,0,0
19,4,,18,,,17,4,,12,18,9,,18,,,,,,,,4,25,,,,,,,,7,21,20,22,,,,,,3,9,,10,4,9,8,,23,18,11,,,,0,,0,,,0,0
9,5,,18,,,18,17,,9,17,9,,22,,,,,,,,5,14,,,,,,,,10,9,15,18,,,,,,2,10,,14,12,18,10,,4,10,7,,,,4,,0,,,0,0
20,12,,15,,,17,11,,15,12,18,,30,,,,,,,,24,18,,,,,,,,15,21,17,15,,,,,,6,11,,21,6,13,7,,15,10,9,,,,2,,0,,,0,0
17,1,,18,,,10,9,,8,23,21,,18,,,,,,,,27,18,,,,,,,,5,7,12,25,,,,,,2,6,,7,12,21,6,,15,13,12,,,,0,,0,,,0,0
4,17,,9,,,12,16,,9,11,7,,11,,,,,,,,22,18,,,,,,,,13,4,17,20,,,,,,0,8,,11,14,10,7,,20,15,9,,,,11,,0,,,0,0
10,4,,13,,,11,15,,9,17,16,,13,,,,,,,,23,18,,,,,,,,4,0,18,27,,,,,,9,9,,10,11,14,9,,12,13,1,,,,7,,0,,,0,0
22,4,,18,,,13,7,,12,13,14,,1,,,,,,,,21,8,,,,,,,,9,0,17,23,,,,,,8,9,,8,13,7,16,,7,10,7,,,,6,,0,,,0,0
19,6,,19,,,17,11,,13,12,9,,13,,,,,,,,14,9,,,,,,,,18,0,19,14,,,,,,3,14,,10,6,10,11,,20,14,16,,,,11,,0,,,0,0
22,15,,23,,,20,12,,15,16,13,,10,,,,,,,,4,9,,,,,,,,13,0,22,20,,,,,,6,7,,16,12,8,4,,8,5,15,,,,12,,0,,,0,0
13,20,,14,,,13,14,,13,11,12,,6,,,,,,,,14,11,,,,,,,,16,0,21,24,,,,,,10,8,,4,7,14,11,,17,8,8,,,,11,,0,,,0,0
12,0,,11,,,24,0,,18,28,12,,20,,,,,,,,18,12,,,,,,,,12,18,21,22,,,,,,3,11,,6,14,12,9,,18,11,14,,,,16,,0,,,0,0
19,3,,19,,,15,15,,17,10,12,,10,,,,,,,,25,24,,,,,,,,7,2,7,35,,,,,,8,9,,8,13,9,10,,18,13,13,,,,10,,0,,,0,0
19,4,,21,,,6,0,,1,6,5,,27,,,,,,,,4,10,,,,,,,,13,7,10,21,,,,,,5,10,,8,6,9,6,,4,11,9,,,,10,,0,,,0,0
16,14,,24,,,12,16,,11,13,13,,8,,,,,,,,16,10,,,,,,,,15,3,16,29,,,,,,8,11,,10,8,10,8,,12,10,10,,,,14,,0,,,0,0
