A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,D,D,D,D,D,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,F,G,G,G,G,G
P2Y12,ETB,PAF,PAR1,CCR7,CXCR2,OX1,OX2,CCK1,KOR,MOR,DOR,GHSR,NTS1,FPR2,NK1,Apelin,AT2,CCR6,CysLT1,PAR2,P2Y1,CXCR4,NPY2R,NPY1R,OT,C5a1,DP2,CCR2,LT4R,CCR5,US28,A1,A2a,EP4,EP2,TXA2R,MT1,MT2,RHO,FFA1,M5,M2,M3,M4,M1,5-HT1f,5-HT2b,B1-AR,B2-AR,D2,5-HT2a,5-HT2c,D3,MC4R,LPA1,S1P3,CB2,CB1,S1P1
26,27,21,18,26,22,14,42,19,28,24,26,19,17,21,22,17,25,17,18,26,23,20,14,20,21,17,28,22,15,20,22,104,31,24,33,28,20,24,21,27,20,22,23,23,22,9,21,25,25,22,18,22,25,37,27,19,18,29,21
21,16,,17,,,12,10,,29,24,17,,20,,,,,,,,15,16,,,,,,,,20,16,80,17,,,,,,16,23,,21,14,14,14,,19,18,25,,,,30,,26,,,19,20
28,13,,10,,,15,14,,33,22,20,,23,,,,,,,,15,26,,,,,,,,24,21,90,20,,,,,,14,32,,16,13,12,13,,16,29,34,,,,24,,21,,,31,24
24,14,,15,,,21,17,,32,21,20,,18,,,,,,,,17,16,,,,,,,,22,20,79,26,,,,,,12,31,,23,20,20,14,,16,17,26,,,,26,,25,,,19,28
20,21,,16,,,20,13,,22,17,16,,22,,,,,,,,18,29,,,,,,,,25,22,101,21,,,,,,20,32,,21,17,20,15,,17,21,30,,,,27,,18,,,25,17
23,16,,11,,,9,20,,35,18,19,,26,,,,,,,,18,21,,,,,,,,21,20,106,27,,,,,,21,36,,20,15,13,18,,17,31,31,,,,21,,16,,,14,22
20,13,,17,,,15,12,,29,15,22,,23,,,,,,,,18,18,,,,,,,,20,14,99,25,,,,,,12,34,,19,17,11,13,,13,23,11,,,,26,,16,,,23,16
20,19,,14,,,15,19,,33,18,14,,15,,,,,,,,20,23,,,,,,,,20,25,105,20,,,,,,14,35,,12,14,18,12,,20,18,17,,,,31,,18,,,27,19
21,15,,9,,,7,18,,30,16,18,,18,,,,,,,,15,15,,,,,,,,19,19,102,20,,,,,,19,30,,17,21,14,13,,17,27,21,,,,23,,12,,,24,28
22,15,,10,,,11,11,,29,18,19,,20,,,,,,,,25,20,,,,,,,,26,16,111,26,,,,,,11,33,,15,14,16,13,,18,24,20,,,,19,,17,,,27,21
25,23,,21,,,12,20,,29,20,17,,21,,,,,,,,19,15,,,,,,,,29,23,106,22,,,,,,15,34,,12,15,12,15,,15,15,24,,,,22,,13,,,31,23
26,22,,14,,,13,15,,27,22,18,,21,,,,,,,,18,89,,,,,,,,28,18,94,29,,,,,,17,16,,14,19,19,14,,9,23,19,,,,28,,19,,,24,21
28,15,,21,,,15,16,,21,17,18,,18,,,,,,,,23,75,,,,,,,,24,21,88,19,,,,,,12,24,,18,20,17,18,,14,25,23,,,,22,,22,,,25,21
24,20,,13,,,18,20,,30,20,24,,14,,,,,,,,19,95,,,,,,,,24,16,100,23,,,,,,21,26,,15,15,21,13,,12,18,24,,,,19,,26,,,21,20
20,15,,12,,,9,12,,37,19,20,,21,,,,,,,,20,91,,,,,,,,24,16,89,23,,,,,,22,24,,17,16,16,18,,19,17,28,,,,22,,21,,,25,23
26,20,,17,,,17,16,,30,24,16,,22,,,,,,,,20,81,,,,,,,,23,19,104,22,,,,,,16,28,,18,16,18,15,,18,33,27,,,,31,,20,,,29,16
28,20,,21,,,16,11,,30,15,19,,20,,,,,,,,22,87,,,,,,,,23,24,87,17,,,,,,22,33,,14,14,22,18,,20,24,28,,,,24,,28,,,19,18
25,17,,19,,,13,14,,27,16,21,,22,,,,,,,,16,80,,,,,,,,21,20,75,29,,,,,,21,27,,18,17,21,13,,23,25,22,,,,22,,25,,,33,16
19,19,,11,,,8,16,,29,17,21,,15,,,,,,,,19,87,,,,,,,,21,19,93,32,,,,,,11,31,,19,18,16,11,,19,26,19,,,,31,,26,,,21,25
23,16,,17,,,8,22,,26,22,16,,9,,,,,,,,24,79,,,,,,,,15,25,93,26,,,,,,20,29,,25,14,25,13,,19,28,33,,,,33,,22,,,24,19
22,21,,16,,,13,17,,25,14,16,,23,,,,,,,,20,90,,,,,,,,24,21,104,21,,,,,,17,35,,15,9,20,15,,13,30,32,,,,27,,21,,,18,24
22,13,,14,,,13,16,,29,15,15,,20,,,,,,,,18,84,,,,,,,,20,13,94,23,,,,,,18,22,,18,15,15,12,,17,25,21,,,,31,,30,,,25,25
25,13,,14,,,18,16,,27,20,22,,13,,,,,,,,16,83,,,,,,,,16,8,100,25,,,,,,17,28,,12,16,17,11,,21,25,25,,,,25,,22,,,17,24
